7,47251423.0841293,120191473.472202,20502695.6849319,852538.133271985,506753.256989127,426043.553325863
8,49781142.9803545,123685425.549987,21178171.9245136,865567.525287328,507989.813237023,423471.698125379
9,52635536.1427747,127040012.776506,21864728.6063697,880861.055138523,514662.272142038,425630.335507206
10,55694787.4889318,130201032.075843,22534522.6534887,896894.98395098,524572.00308482,430689.26996918
11,58860801.9149038,133153131.066127,23178452.6124653,912932.200925729,536414.421150259,437567.336427137
12,62046660.210496,135898637.997924,23795406.857293,928602.543411519,549374.076865231,445580.659903935
13,65181512.7558342,138447776.448229,24387543.6193235,943720.782049508,562925.891928418,454273.97194968
14,68215228.7348116,140813963.920249,24958134.8331392,958200.346773747,576726.45633629,463332.982434379
Span = ,-20,,,,,
SN slope,Mx,My,Mz,Fx,Fy,Fz
3,49429850.1466247,111070295.755146,22380918.6935159,1057005.18093984,777807.289688346,672371.891467591
4,42807313.6373559,107759823.75408,19949775.9897525,896135.272668945,605516.197691018,521422.367470139
5,41977332.2947223,109587514.541277,19574612.6010982,852516.073804771,540849.658489666,462443.317110846
6,43137797.9298037,112742332.732876,19908144.6195786,846174.53151619,514854.028009713,436605.082542085
7,45177218.7841003,116239114.911264,20501155.6741289,853782.32979057,506680.656265457,426088.97951823
8,47695476.9928474,119737088.122643,21176819.1890266,867025.120603662,507968.648381555,423786.797240325
9,50514159.0196413,123103242.878487,21863457.8956632,882517.583244977,514691.443400778,426310.448764353
10,53521675.2842757,126287113.676315,22533280.7948083,898733.485140752,524651.031855104,431824.021942792
11,56624263.2534743,129274453.952779,23177213.6821262,914934.141436678,536543.126383472,439230.056550838
12,59738491.6726026,132067420.14999,23794158.1935973,930748.943575617,549552.521544326,447820.732258543
13,62796920.8376293,134675448.747842,24386278.5450661,945993.175690725,563154.364823664,457113.408423685
14,65752582.1881065,137110904.799853,24956849.0790674,960581.454039859,577005.398155734,466767.21603063
Span = ,-19.8999996,,,,,
SN slope,Mx,My,Mz,Fx,Fy,Fz
3,49348899.6664873,110994855.033562,22381921.9965013,1056775.45644928,777586.005608613,672704.821130709
4,42728290.2015764,107694023.121309,19948175.2722246,895884.660539468,605321.070527405,521823.961931515
5,41869525.139702,109526262.98483,19570684.268232,852206.244998092,540653.707773253,462934.113793699
6,42966064.2832743,112689623.307458,19902024.1230912,845788.028825408,514646.159152163,437203.459094023
7,44897151.9071995,116199704.754138,20492926.5280213,853312.074324092,506455.052777229,426804.092153741
8,47257866.041694,119714135.688202,21166517.4994322,866469.962543076,507722.026778338,424614.56748646
9,49876833.4952137,123097860.64478,21851103.6222727,881880.129964425,514422.046662693,427232.407108315
10,52663136.9970942,126298657.719382,22518918.2556333,898018.732540206,524358.103961817,432809.564830172
11,55550713.0158064,129301037.416962,23160944.8003916,914148.454987789,536226.560248064,440241.486230327
12,58480257.8948451,132106418.235541,23776164.1458098,929899.293267415,549212.608679258,448819.44300991
13,61398068.5818382,134723907.542601,24366829.5473413,945086.594588856,562791.628838581,458065.390827966
14,64260440.8646613,137165836.697531,24936302.0666945,959624.684672994,576620.498224067,467646.635343657
Span = ,-15,,,,,
SN slope,Mx,My,Mz,Fx,Fy,Fz
3,45944258.4651967,106406043.056487,22380873.5531054,1057644.05660209,776142.660776245,672055.680526162
4,40224605.8745207,103631695.930874,19949260.7941552,897408.102650606,604324.434976489,521205.655662446
5,39716036.905141,105559852.822715,19573613.421924,854105.892412523,539879.487011317,462259.712157166
6,40984861.8273043,108711896.216763,19906790.9277915,847904.177237597,514020.850922063,436432.046810989
7,43044865.451897,112175283.247688,20499579.675898,855560.315165787,505948.165200982,425917.869312966
8,45545301.0101516,115629818.289937,21175112.9887515,868809.647172053,507318.259673622,423613.547276895
9,48327017.1085376,118949151.772414,21861674.5556132,884293.51147459,514112.014795771,426130.656120966
10,51285175.0203214,122084906.706979,22531447.5785271,900499.368602059,524134.956696563,431630.32253576
