Span:,-30,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Fy,Max,dlc61_U50_Ym8_278,-728795577.6,148530866.4,743777164.8,-41688531.9,1804276.18125,4335429.15,4695887.5875,-31923892.8,1.35
Fy,Min,dlc61_U50_Yp8_37,670370040,-74983946.4,674550633.6,44448039.9,552238.7625,-3992038.0875,4030054.0875,-32238186.3,1.35
Fxy,Max,dlc13_U18_Ym10_353,36466102.8,683313148.8,684285494.4,-20974484.25,4727872.4625,-541827.73125,4758818.85,-33057765.9,1.35
Fxy,Min,dlc64_U04_Yp8_677,48449.03125,-75210968,75210984,19593.33984375,-24.2138633728027,2.48261475563049,24.340799331665,-24171980,1
Fz,Max,dlc64_U34_Yp8_669,98009096,36818592,104696664,10995749,650695.75,-539979.25,845566.4375,-23388970,1
Fz,Min,dlc13_U26_Yp10_839,33239108.7,230791896,233173188,50223553.2,3001346.6625,555623.0859375,3052343.25,-34429195.8,1.35
Span:,-20,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,650792145.6,-77693326.2,655413379.2,44434172.7,549982.74375,-4006010.25,4043587.5,-31325540.4,1.35
Mx,Min,dlc61_U50_Ym8_278,-707536382.4,139680612,721192334.4,-41671573.2,1806516.50625,4350390.1875,4710562.0875,-31010601.6,1.35
My,Max,dlc13_U20_Yp10_82,24657817.5,664491945.6,664949304,5587245,4568386.5,-48080.8986328125,4568639.625,-32446102.5,1.35
My,Min,dlc14_U11,151728228,-287488396.8,325070820,52567525.8,-1286893.2375,-820994.23125,1526474.86875,-31750793.1,1.35
Mxy,Max,dlc61_U50_Ym8_278,-706773513.6,149046069.6,722318169.6,-40503396.6,1901316.7125,4338374.175,4736718,-31089274.2,1.35
Mxy,Min,dlc11_U04_Y0_39,-32365.419921875,21992.4243164063,39130.3881835938,6982813.125,593289.375,68256.7919921875,597202.890625,-29468232.5,1.25
Mz,Max,dlc13_U24_Yp10_735,48296061,36908227.8,60784263,82449608.4,1056332.64375,373694.596875,1120484.896875,-32514056.1,1.35
Mz,Min,dlc13_U24_Ym10_735,-25022752.2,45365173.2,51808658.4,-90462911.4,748518.975,362613.796875,831726.73125,-31180040.1,1.35
Fx,Max,dlc13_U18_Ym10_353,-1453070.30625,661385174.4,661386772.8,-18746158.05,4760810.775,222164.9859375,4765991.7375,-32357823.3,1.35
Fx,Min,dlc14_U11,147166286.4,-285878419.2,321534424.8,53855074.8,-1313490.346875,-783844.846875,1529597.925,-31721854.5,1.35
Fy,Max,dlc61_U50_Ym8_278,-707536382.4,139680612,721192334.4,-41671573.2,1806516.50625,4350390.1875,4710562.0875,-31010601.6,1.35
Fy,Min,dlc61_U50_Yp8_37,650792145.6,-77693326.2,655413379.2,44434172.7,549982.74375,-4006010.25,4043587.5,-31325540.4,1.35
Fxy,Max,dlc13_U18_Ym10_353,33806943,660127622.4,660992745.6,-20959938,4742431.875,-541151.1703125,4773207.15,-32144609.7,1.35
Fxy,Min,dlc64_U04_Ym8_347,31295.712890625,-74931816,74931824,198.299407958984,2.48006010055542,7.62551593780518,8.01867771148682,-23498428,1
Fz,Max,dlc64_U34_Yp8_669,95362768,33629756,101118832,10995340,651167.1875,-541361.25,846812.0625,-22714502,1
Fz,Min,dlc13_U26_Yp10_839,35966826.9,216082382.4,219055255.2,50216560.2,3002122.575,553454.6484375,3052712.475,-33518394,1.35
Span:,-19.8999996,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,650392156.8,-77748541.2,655022721.6,44433902.7,550853.071875,-4000296.0375,4038045.075,-31307250.6,1.35
Mx,Min,dlc61_U50_Ym8_278,-707102006.4,139499917.2,720731217.6,-41671246.5,1805510.25,4344169.725,4704431.7375,-30992301,1.35
My,Max,dlc13_U20_Yp10_82,24653041.2,664035667.2,664493155.2,5587299,4562544.7125,-47894.6935546875,4562796.15,-32427807.3,1.35
My,Min,dlc14_U11,151646191.2,-287360028,324918993.6,52567498.8,-1284315.496875,-819680.00625,1523594.98125,-31732541.1,1.35
Mxy,Max,dlc61_U50_Ym8_278,-706340347.2,148855903.2,721855108.8,-40503061.8,1900239.075,4332152.025,4730586.6375,-31070970.9,1.35
Mxy,Min,dlc13_U04_Y0_489,-25621.8952148438,-11666.5378417969,28152.9685546875,19106350.2,466773.6375,48879.63984375,469325.9390625,-31704453,1.35
Mz,Max,dlc13_U24_Yp10_735,48333585.6,36802590.3,60750027,82449408.6,1056123.5625,374310.028125,1120493.165625,-32495812.2,1.35
Mz,Min,dlc13_U24_Ym10_735,-24986504.7,45290358.9,51725638.8,-90462835.8,748079.634375,362442.8109375,831256.846875,-31161793.5,1.35
Fx,Max,dlc13_U18_Ym10_353,-1430908.5375,660909628.8,660911184,-18746167.5,4755091.8375,222175.9125,4760279.55,-32339525.4,1.35
Fx,Min,dlc14_U11,147087964.8,-285747372,321382058.4,53855053.2,-1310944.33125,-782568.675,1526757.69375,-31703605.2,1.35
Fy,Max,dlc61_U50_Ym8_278,-707102006.4,139499917.2,720731217.6,-41671246.5,1805510.25,4344169.725,4704431.7375,-30992301,1.35
Fy,Min,dlc61_U50_Yp8_37,650392156.8,-77748541.2,655022721.6,44433902.7,550853.071875,-4000296.0375,4038045.075,-31307250.6,1.35
Fxy,Max,dlc13_U18_Ym10_353,33752708.1,659653934.4,660516897.6,-20959653.15,4736646.1125,-541026.8859375,4767444.3375,-32126314.5,1.35
Fxy,Min,dlc64_U04_Yp8_400,-119754.484375,-75100376,75100472,28773.1328125,-31.2126293182373,-7.65959167480469,32.1387252807617,-23485172,1
Fz,Max,dlc64_U34_Yp8_669,95308720,33564668,101046224,10995333,650914.0625,-540529.9375,846086.1875,-22700986,1
Fz,Min,dlc13_U26_Yp10_839,36022411.8,215782185.6,218768299.2,50216430.6,3000690.9,553971.15,3051397.9125,-33500142,1.35
Span:,-15,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,630761904,-80449340.4,635871556.8,44421326.1,548134.7203125,-4017319.2,4054541.4,-30427463.7,1.35
Mx,Min,dlc61_U50_Ym8_278,-685786046.4,130641400.8,698118696,-41656248,1808331.4125,4362851.025,4722767.4375,-30111866.1,1.35
My,Max,dlc13_U20_Yp10_82,24418427.4,641647483.2,642111969.6,5589956.8125,4580486.2125,-48210.282421875,4580739.675,-31547593.8,1.35
My,Min,dlc14_U11,147619357.2,-281055117.6,317464099.2,52566229.8,-1292444.353125,-823825.603125,1532677.6125,-30854555.1,1.35
Mxy,Max,dlc61_U50_Ym8_278,-685083225.6,139533138,699148454.4,-40487823,1903112.55,4350921.75,4748932.125,-30190522.5,1.35
Mxy,Min,dlc11_U04_Yp10_295,-8860.1220703125,-18820.17578125,20801.4624023438,6610182.5,600831.0546875,66190.1904296875,604465.9765625,-28639170,1.25
Mz,Max,dlc13_U24_Yp10_735,50167463.4,31628202.3,59305289.4,82437804,1055197.96875,371363.4,1118639.109375,-31618274.4,1.35
Mz,Min,dlc13_U24_Ym10_735,-23210933.4,41622889.5,47657235.6,-90458137.8,749334.796875,362247.01875,832301.325,-30284212.5,1.35
Fx,Max,dlc13_U18_Ym10_353,-345119.7375,637579555.2,637579641.6,-18746226.9,4771675.2375,222050.784375,4776838.9875,-31459268.7,1.35
Fx,Min,dlc14_U11,143242959.6,-279312040.8,313900876.8,53854102.8,-1318935.740625,-786652.425,1535712.75,-30825621.9,1.35
Fy,Max,dlc61_U50_Ym8_278,-685786046.4,130641400.8,698118696,-41656248,1808331.4125,4362851.025,4722767.4375,-30111866.1,1.35
Fy,Min,dlc61_U50_Yp8_37,630761904,-80449340.4,635871556.8,44421326.1,548134.7203125,-4017319.2,4054541.4,-30427463.7,1.35
Fxy,Max,dlc13_U18_Ym10_353,31098629.7,636413932.8,637173302.4,-20946188.25,4753805.9625,-539228.053125,4784290.65,-31246025.4,1.35
